Timestep;NBPresence;NBPresencePercentage
1987;1;0,019230769
1988;1;0,019230769
1989;0;0
1990;1;0,019230769
1991;1;0,019230769
1992;1;0,019230769
1993;1;0,019230769
1994;1;0,019230769
1995;1;0,019230769
1996;1;0,019230769
1997;2;0,038461538
1998;2;0,038461538
1999;2;0,038461538
2000;1;0,019230769
2001;1;0,019230769
2002;1;0,019230769
2003;1;0,019230769
2004;1;0,019230769
2005;2;0,038461538
2006;2;0,038461538
2007;2;0,038461538
2008;3;0,057692308
2009;3;0,057692308
2010;3;0,057692308
2011;1;0,019230769
2012;2;0,038461538
2013;2;0,038461538
2014;2;0,038461538
2015;2;0,038461538
