Timestep;NBPresence;NBPresencePercentage
149;75;0,205479452
150;78;0,21369863
151;85;0,232876712
152;94;0,257534247
153;96;0,263013699
154;101;0,276712329
155;100;0,273972603
156;103;0,282191781
157;103;0,282191781
158;100;0,273972603
159;102;0,279452055
160;101;0,276712329
161;108;0,295890411
162;106;0,290410959
163;96;0,263013699
164;102;0,279452055
165;109;0,298630137
166;114;0,312328767
167;114;0,312328767
168;109;0,298630137
169;109;0,298630137
170;104;0,284931507
171;109;0,298630137
172;104;0,284931507
173;102;0,279452055
174;103;0,282191781
175;96;0,263013699
176;99;0,271232877
177;96;0,263013699
178;92;0,252054795
179;80;0,219178082
180;91;0,249315068
181;90;0,246575342
182;85;0,232876712
183;89;0,243835616
184;87;0,238356164
185;85;0,232876712
186;84;0,230136986
187;83;0,22739726
188;83;0,22739726
189;78;0,21369863
190;91;0,249315068
191;89;0,243835616
192;98;0,268493151
193;100;0,273972603
194;94;0,257534247
195;93;0,254794521
196;86;0,235616438
197;94;0,257534247
198;97;0,265753425
199;97;0,265753425
200;98;0,268493151
201;106;0,290410959
202;100;0,273972603
203;104;0,284931507
204;93;0,254794521
205;81;0,221917808
206;76;0,208219178
207;65;0,178082192
208;65;0,178082192
209;61;0,167123288
210;59;0,161643836
211;57;0,156164384
212;50;0,136986301
213;44;0,120547945
214;39;0,106849315
215;29;0,079452055
216;27;0,073972603
217;27;0,073972603
218;29;0,079452055
219;29;0,079452055
220;28;0,076712329
221;27;0,073972603
222;27;0,073972603
223;27;0,073972603
224;28;0,076712329
225;28;0,076712329
226;29;0,079452055
227;21;0,057534247
228;19;0,052054795
229;16;0,043835616
230;18;0,049315068
231;15;0,04109589
232;18;0,049315068
233;14;0,038356164
234;15;0,04109589
235;14;0,038356164
236;14;0,038356164
237;13;0,035616438
238;14;0,038356164
239;13;0,035616438
240;14;0,038356164
241;15;0,04109589
242;13;0,035616438
243;13;0,035616438
244;12;0,032876712
245;10;0,02739726
246;9;0,024657534
247;14;0,038356164
248;13;0,035616438
249;11;0,030136986
250;10;0,02739726
251;7;0,019178082
252;9;0,024657534
253;8;0,021917808
254;7;0,019178082
255;11;0,030136986
256;13;0,035616438
257;12;0,032876712
258;14;0,038356164
259;12;0,032876712
260;12;0,032876712
261;8;0,021917808
262;9;0,024657534
263;11;0,030136986
264;12;0,032876712
265;11;0,030136986
266;14;0,038356164
267;13;0,035616438
268;10;0,02739726
269;11;0,030136986
270;14;0,038356164
271;16;0,043835616
272;15;0,04109589
273;14;0,038356164
274;11;0,030136986
275;12;0,032876712
276;14;0,038356164
277;14;0,038356164
278;12;0,032876712
279;12;0,032876712
280;14;0,038356164
281;12;0,032876712
282;10;0,02739726
283;11;0,030136986
284;12;0,032876712
285;13;0,035616438
286;12;0,032876712
287;9;0,024657534
